dataset_id,location_id,anonymized_unique_id,start_time,end_time,distance
5201,3,317afdd038e371b825ec1c861ecaef1d5214e5cc,2024-05-10 00:30:00,2024-05-10 00:30:04,60m_to_80m
5201,1,3554b1679b35f5e50bfd8796a879169c4424114d,2024-05-10 14:31:42,2024-05-10 14:53:02,60m_to_80m
5201,3,3554b1679b35f5e50bfd8796a879169c4424114d,2024-05-10 14:12:13,2024-05-10 14:12:13,60m_to_80m
5201,2,02032b7dbe86ba2a0a43cd4d7e3777c2699e9823,2024-05-10 15:48:13,2024-05-10 15:50:09,60m_to_80m
5201,2,503742afbd5543c49b491363f22515c98826cc8c,2024-05-10 19:40:57,2024-05-10 19:42:13,40m_to_60m
5201,3,dc274a2a17bbb127295ea58f99934d7b7110c7ea,2024-05-10 12:49:53,2024-05-10 12:49:53,60m_to_80m
5201,2,dc274a2a17bbb127295ea58f99934d7b7110c7ea,2024-05-10 18:12:48,2024-05-10 18:12:48,40m_to_60m
5201,1,0c79a0d6d2205fb47f53cd946a31cde9a0c5f4ec,2024-05-10 17:50:22,2024-05-10 17:53:18,60m_to_80m
5201,3,0c79a0d6d2205fb47f53cd946a31cde9a0c5f4ec,2024-05-10 07:51:28,2024-05-10 07:51:52,60m_to_80m
5201,3,0c79a0d6d2205fb47f53cd946a31cde9a0c5f4ec,2024-05-10 11:23:20,2024-05-10 11:32:00,60m_to_80m
5201,1,34c04b5ac16a5b82835737a90e9b4dca0bd47e01,2024-05-10 04:12:20,2024-05-10 04:24:40,80m_to_100m
5201,2,34c04b5ac16a5b82835737a90e9b4dca0bd47e01,2024-05-10 21:58:03,2024-05-10 21:58:03,60m_to_80m
5201,3,78ea65061fcf23f61420e37a420f476cf9386660,2024-05-10 04:26:40,2024-05-10 04:26:40,60m_to_80m
5201,3,d363a0c733c212eb2cdf60508f96dd3100ddfd67,2024-05-10 07:51:44,2024-05-10 07:51:44,40m_to_60m
5201,3,81eed13539e71052a0cc1d91c0cb75e97f876521,2024-05-10 12:03:20,2024-05-10 12:04:36,60m_to_80m
5201,1,971c942e48add52951cec9f027416d56eea00df1,2024-05-10 14:36:14,2024-05-10 14:36:14,80m_to_100m
5201,2,971c942e48add52951cec9f027416d56eea00df1,2024-05-10 12:36:28,2024-05-10 12:37:44,40m_to_60m
5201,2,999beed6e8716f7c81d715fc818dac96afa47720,2024-05-10 13:38:52,2024-05-10 13:39:08,40m_to_60m
5201,1,81fe219e4e3b0e8191bc73b1e29f1609a511087b,2024-05-10 20:25:43,2024-05-10 20:25:43,60m_to_80m
5201,3,81fe219e4e3b0e8191bc73b1e29f1609a511087b,2024-05-10 16:22:04,2024-05-10 16:22:04,60m_to_80m
